Price,Brand_name,5G,RAM,ROM,Front_camera,Processor_name,Back_camera_sum
14999,Infinix,1,8,256,16,Mediatek,110
12999,REDMI,1,6,128,8,Snapdragon,52
65999,Apple,0,4,128,12,Bionic,60
11999,Motorola,1,8,128,16,Snapdragon,52
17999,vivo,1,8,128,16,Snapdragon,66
15999,vivo,1,6,128,16,Snapdragon,66
21999,Infinix,1,8,256,50,Mediatek,123
12499,Infinix,1,4,128,8,Mediatek,50
17999,vivo,1,8,128,16,Snapdragon,66
65999,Apple,0,4,128,12,Bionic,60
15999,vivo,1,6,128,16,Snapdragon,66
10999,Motorola,1,4,128,16,Snapdragon,52
13999,Motorola,1,8,128,16,Mediatek,58
5499,POCO,0,4,64,5,Mediatek,8
9499,POCO,1,4,128,0,Mediatek,50
22999,Motorola,0,8,128,32,Mediatek,63
15999,Motorola,1,12,256,16,Mediatek,58
13999,Motorola,1,8,128,16,Mediatek,58
14999,vivo,1,8,128,8,Mediatek,52
22999,Motorola,0,8,128,32,Mediatek,63
12999,vivo,1,6,128,8,Mediatek,52
12999,vivo,1,6,128,8,Mediatek,52
12999,vivo,1,6,128,8,Mediatek,52
13999,Motorola,1,8,128,16,Mediatek,58
10990,Samsung,1,6,128,13,Others,52
7499,Samsung,0,4,64,8,Others,57
5499,POCO,0,4,64,5,Mediatek,8
12999,Infinix,1,8,128,8,Mediatek,50
5299,REDMI,0,2,64,5,Mediatek,8
10990,Samsung,1,6,128,13,Others,52
5299,REDMI,0,2,64,5,Mediatek,8
56999,Apple,0,4,128,12,Bionic,24
6299,POCO,0,4,64,5,Mediatek,50
19098,OnePlus,1,8,128,0,Others,108
20478,OnePlus,1,8,256,0,Others,108
10990,Samsung,1,6,128,13,Others,52
19121,OnePlus,1,8,128,0,Others,108
7499,Samsung,0,4,64,8,Others,57
14999,realme,1,6,128,8,Mediatek,66
24999,vivo,1,8,256,16,Mediatek,66
24999,vivo,1,8,256,16,Mediatek,66
56999,Apple,0,4,128,12,Bionic,24
23999,vivo,1,8,128,16,Mediatek,66
23999,vivo,1,8,128,16,Mediatek,66
82999,Apple,0,4,128,12,Bionic,60
17999,Motorola,1,12,256,16,Snapdragon,58
56999,Apple,0,4,128,12,Bionic,24
15999,realme,1,8,128,8,Mediatek,66
15999,realme,1,8,128,16,Mediatek,110
8999,realme,0,6,64,8,Others,110
5299,REDMI,0,2,64,5,Mediatek,8
21999,POCO,1,8,256,16,Others,74
8999,realme,0,4,128,5,Others,58
11499,POCO,1,6,128,8,Snapdragon,52
8999,realme,0,6,64,8,Others,110
7999,realme,0,4,64,5,Others,58
18999,OnePlus,1,8,128,0,Others,108
10999,Motorola,1,4,128,16,Snapdragon,52
10499,POCO,1,4,128,8,Snapdragon,52
31999,realme,1,8,256,32,Snapdragon,122
9499,POCO,1,4,128,0,Mediatek,50
18863,OnePlus,1,8,128,0,Others,108
12999,POCO,1,8,256,8,Snapdragon,52
7999,realme,0,4,64,5,Others,58
29999,realme,1,8,128,32,Snapdragon,122
6399,Infinix,0,3,64,8,Others,13
8999,realme,0,4,128,5,Others,58
12999,REDMI,1,6,128,8,Snapdragon,52
26999,POCO,1,8,256,16,Mediatek,74
11499,POCO,1,6,128,8,Snapdragon,52
25999,REDMI,1,8,128,16,Others,210
8499,POCO,0,6,128,8,Mediatek,54
9499,REDMI,0,4,128,8,Mediatek,60
12028,Samsung,1,6,128,0,Others,50
6499,POCO,0,6,128,5,Mediatek,8
9990,Samsung,1,4,128,13,Others,52
